river,subregion,region,stock_unit,lat,lon
Canche,NA,Artois-Picardie,France,NA,NA
Authie,NA,Artois-Picardie,France,NA,NA
Bresle,Haute-Normandie,Seine-Normandie,France,50.061661,1.374828
Arques,Haute-Normandie,Seine-Normandie,France,49.930103,1.085561
Touques,Basse-Normandie,Seine-Normandie,France,NA,NA
Orne,Basse-Normandie,Seine-Normandie,France,NA,NA
Vire,Basse-Normandie,Seine-Normandie,France,NA,NA
Saire,Basse-Normandie,Seine-Normandie,France,NA,NA
Sienne,Basse-Normandie,Seine-Normandie,France,NA,NA
See,Basse-Normandie,Seine-Normandie,France,NA,NA
Selune,Basse-Normandie,Seine-Normandie,France,NA,NA
See Selune,Basse-Normandie,Seine-Normandie,France,NA,NA
Couesnon,Bretagne Nord,Bretagne,France,NA,NA
Gouet,Bretagne Nord,Bretagne,France,NA,NA
Leff,Bretagne Nord,Bretagne,France,NA,NA
Trieux,Bretagne Nord,Bretagne,France,NA,NA
Jaudy,Bretagne Nord,Bretagne,France,NA,NA
Leguer,Bretagne Nord,Bretagne,France,NA,NA
Yar,Bretagne Nord,Bretagne,France,NA,NA
Douron,Bretagne Nord,Bretagne,France,48.656185,-3.65955
Queffleuth,Bretagne Nord,Bretagne,France,NA,NA
Penze,Bretagne Nord,Bretagne,France,48.643562,-3.950601
Dourduff,Bretagne Nord,Bretagne,France,NA,NA
Jarlot,Bretagne Nord,Bretagne,France,NA,NA
Fleche,Bretagne Nord,Bretagne,France,NA,NA
Aber Ildut,Bretagne Nord,Bretagne,France,NA,NA
Aber Benoit,Bretagne Nord,Bretagne,France,NA,NA
Aber Wrach,Bretagne Nord,Bretagne,France,NA,NA
Elorn,Bretagne Nord,Bretagne,France,48.415749,-4.323667
Mignonne,Bretagne Nord,Bretagne,France,NA,NA
Faou,Bretagne Nord,Bretagne,France,NA,NA
Camfrout,Bretagne Nord,Bretagne,France,NA,NA
Aulne,Bretagne Nord,Bretagne,France,NA,NA
Goyen,Bretagne Sud,Bretagne,France,48.027447,-4.533051
Odet + Affl,Bretagne Sud,Bretagne,France,NA,NA
Belon,Bretagne Sud,Bretagne,France,NA,NA
Aven,Bretagne Sud,Bretagne,France,47.842906,-3.748738
Elle,Bretagne Sud,Bretagne,France,47.876111,-3.536609
Elle + Affl,Bretagne Sud,Bretagne,France,NA,NA
Scorff,Bretagne Sud,Bretagne,France,NA,NA
Blavet,Bretagne Sud,Bretagne,France,NA,NA
Pont Du Roc'h,Bretagne Sud,Bretagne,France,NA,NA
Kergroix,Bretagne Sud,Bretagne,France,NA,NA
Douffine,Bretagne Sud,Bretagne,France,NA,NA
Gave Oloron,Adour,Aquitaine,France,NA,NA
Gave Mauleon,Adour,Aquitaine,France,NA,NA
Gave Mauleon (Le Saison),Adour,Aquitaine,France,NA,NA
Gaves Reunis,Adour,Aquitaine,France,NA,NA
Gave Pau,Adour,Aquitaine,France,NA,NA
Nive,Adour,Aquitaine,France,NA,NA
Adour,Adour,Aquitaine,France,NA,NA
Nivelle,Adour,Aquitaine,France,NA,NA
Garonne,Gironde,Aquitaine,France,45.005921,-0.574534
Dordogne,Gironde,Aquitaine,France,44.998734,-0.47513
Oir,NA,Seine-Normandie,France,48.646895,-1.380787
Finistere,NA,Bretagne,France,48.306467,-4.080223
Odet,Bretagne Sud,Bretagne,France,47.962738,-4.100464
Elle,Bretagne Sud,Bretagne,France,47.876111,-3.536609
